_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
62d23bf882f2035316ceb458||40.4|88.71|40.4|62.67|101,0,0,0|time|30|-1|1|30|0|21.59|false|false|english|none|normal|false|false|false||1657945080000
62d23b9582f2035316ceb265||43.2|83.97|43.2|56|108,0,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1657944981000
62d23b6a82f2035316ceb16c|true|31.47|87.8|31.85|45.12|494,2,0,0|custom|custom|-1|0|188.4|1|0|false|false|english|none|normal|false|false|false||1657944938000
62d23aa782f2035316cade79||43.2|85.04|44|56.19|108,2,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1657944743000
62d23a8282f2035316caddc9||58|94.23|58|65.82|145,0,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1657944706000
62d23a1182f2035316cadb95||36.8|90.38|36.8|47.11|92,0,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1657944593000
62d0f49f82f2035316666da4||61.6|94.55|62.4|68.25|154,1,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1657861279000
62d054ce82f2035316b4900f||45.2|87.68|45.2|60.09|113,0,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1657820366000
62d024b882f20353167e19ed||56.8|91.19|56.8|60.4|142,0,0,0|time|30|-1|0|30|0|0|false|false|english_1k|none|normal|false|false|false||1657808056000
62d0247482f20353167e1846||56.4|92.9|58.4|66.45|141,3,0,0|time|30|-1|0|30|0|0|false|false|english_1k|none|normal|false|false|false||1657807988000
62d0245182f20353167e1779||51.6|94.37|53.2|67.76|129,1,0,0|time|30|-1|1|30|0|2.75|false|false|english_1k|none|normal|false|false|false||1657807953000
62d023fd82f20353167e1548|true|60|93.75|60|65.66|150,0,0,0|time|30|-1|0|30|0|0|false|false|english_1k|none|normal|false|false|false||1657807869000
62d016c882f2035316706f64|true|56|92.72|56|65.79|140,0,0,0|time|30|-1|4|30|0|12.8|false|false|english_1k|none|normal|false|false|false||1657804488000
62d0167a82f20353166e856d||50.35|88.67|53.15|62.78|126,1,0,0|time|30|-1|1|30.03|0|18.68|false|false|english|none|normal|false|false|false||1657804410000
62d015f582f20353166e81f0||68.4|94.48|68.4|71.46|171,0,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1657804277000
